"factor","indicator","loading","se","z","pvalue","std_loading","omega","ave","model_cfi","model_tli","model_rmsea","model_srmr"
"Belong","sbvalued",1,0,,,0.868402720582232,0.873576685170111,0.729280742242142,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"Belong","sbmyself",0.979815697662514,0.0149157747841648,65.6898962233413,0,0.839223647946107,0.873576685170111,0.729280742242142,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"Belong","sbcommunity",1.01156835111604,0.014396165449236,70.2665133075228,0,0.884753948468216,0.873576685170111,0.729280742242142,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"Gains","pganalyze",1,0,,,0.731091672228599,0.855780971801471,0.554611912885564,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"Gains","pgthink",1.01323542854616,0.0221134836140182,45.8198014492775,0,0.792752016689431,0.855780971801471,0.554611912885564,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"Gains","pgwork",0.997593489679598,0.0216608091064193,46.0552274284137,0,0.747177394606801,0.855780971801471,0.554611912885564,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"Gains","pgvalues",0.994490920685542,0.0231007243760757,43.0502050280072,0,0.709791955783925,0.855780971801471,0.554611912885564,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"Gains","pgprobsolve",0.985878338786697,0.0220000378533731,44.8125746581631,0,0.759420011988904,0.855780971801471,0.554611912885564,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"SupportEnv","SEacademic",1,0,,,0.82758160688995,0.869138199653876,0.613188071493866,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"SupportEnv","SEwellness",1.02123492786301,0.0171068474014656,59.6974359972085,0,0.815629194060031,0.869138199653876,0.613188071493866,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"SupportEnv","SEnonacad",1.01900807704489,0.0178607911829761,57.052796071887,0,0.781732892533905,0.869138199653876,0.613188071493866,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"SupportEnv","SEactivities",0.979929196439503,0.0184247946829555,53.1853523092998,0,0.742217231902389,0.869138199653876,0.613188071493866,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"SupportEnv","SEdiverse",1.01494490034546,0.0177948839169367,57.0357696674525,0,0.790841765281213,0.869138199653876,0.613188071493866,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"Satisf","sameinst",1,0,,,0.87305609566883,0.827622639492565,0.723371666169723,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"Satisf","evalexp",0.973471513461508,0.0301810700893877,32.2543737043903,0,0.84918809882576,0.827622639492565,0.723371666169723,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"DevAdj","Belong",1,0,,,0.454697345636734,,,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"DevAdj","Gains",0.431997043839603,0.0367131344212,11.7668254331928,0,0.252857974522198,,,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"DevAdj","SupportEnv",0.883511511217141,0.0464119941442208,19.0362755901355,0,0.445242346473789,,,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"DevAdj","Satisf",0.892320780070419,0.0473766515465519,18.8346105294848,0,0.471939340659738,,,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"EmoDiss","MHWdacad",1,0,,,0.909112936655557,0.969254908922134,0.840855770381478,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"EmoDiss","MHWdlonely",1.00382032471001,0.0104946263810452,95.6508872505504,0,0.930957743822339,0.969254908922134,0.840855770381478,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"EmoDiss","MHWdmental",0.99951971385534,0.00983656882533682,101.61263867547,0,0.942958210597573,0.969254908922134,0.840855770381478,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"EmoDiss","MHWdexhaust",1.00593125897698,0.00989962427286241,101.61307452188,0,0.938090027598863,0.969254908922134,0.840855770381478,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"EmoDiss","MHWdsleep",1.00020189091898,0.0106824223603506,93.6306258242867,0,0.920152417728707,0.969254908922134,0.840855770381478,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"EmoDiss","MHWdfinancial",0.998519036860677,0.012306999006852,81.1342420930352,0,0.86711102847235,0.969254908922134,0.840855770381478,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"QualEngag","QIadmin",1,0,,,0.890549779319638,0.960638105336368,0.830171459204296,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"QualEngag","QIstudent",0.989115513456279,0.0114891389837571,86.0913524376936,0,0.897516977988956,0.960638105336368,0.830171459204296,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"QualEngag","QIadvisor",0.999275139374023,0.0109583477627503,91.1884858017339,0,0.920269769638563,0.960638105336368,0.830171459204296,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"QualEngag","QIfaculty",1.00249021370689,0.0105964255998051,94.6064504737637,0,0.934973799747355,0.960638105336368,0.830171459204296,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
"QualEngag","QIstaff",0.99306711554045,0.0109929414508157,90.3367965692899,0,0.914143683997489,0.960638105336368,0.830171459204296,0.995403382538091,0.99485405039853,0.0129459042614687,0.0459801810382975
