panel,z_level,label,estimate,ci_low,ci_high
a1_by_z,low,a1_z_low,0.0883162340819604,-0.0564102912555567,0.233042759419477
a1_by_z,mid,a1_z_mid,0.123843947861001,0.0246547386661973,0.223033157055804
a1_by_z,high,a1_z_high,0.159371661640041,0.0901765252557185,0.228566798024364
a2_by_z,low,a2_z_low,0.0174571304606787,-0.12109921790459,0.156013478825947
a2_by_z,mid,a2_z_mid,-0.0105486934624424,-0.105699740006648,0.0846023530817632
a2_by_z,high,a2_z_high,-0.0385545173855634,-0.104936917140292,0.0278278823691649
a1z,NA,a1z,0.0233832174773145,-0.0128361879866288,0.0596026229412577
a2z,NA,a2z,-0.0184325474895053,-0.0529379034249222,0.0160728084459117
